rnn_join_bi_100_0.3 dev acc 0.772

2018-08-03 15:59:00 rnn_siam_plain train
2018-08-03 16:13:38 rnn_siam_plain train
rnn_siam_plain_100_0.6 train f1  1.000
rnn_siam_plain_100_0.6 train acc 1.000

rnn_siam_plain_100_0.3 dev f1  0.550
rnn_siam_plain_100_0.3 dev acc 0.806

2018-08-03 16:13:48 rnn_siam_stack train
2018-08-03 16:44:15 rnn_siam_stack train
rnn_siam_stack_100_0.5 train f1  0.998
rnn_siam_stack_100_0.5 train acc 0.999

rnn_siam_stack_100_0.3 dev f1  0.537
rnn_siam_stack_100_0.3 dev acc 0.784

2018-08-03 16:44:32 rnn_siam_bi train
2018-08-03 17:14:48 rnn_siam_bi train
rnn_siam_bi_100_0.3 train f1  0.999
rnn_siam_bi_100_0.3 train acc 1.000

rnn_siam_bi_100_0.3 dev f1  0.540
rnn_siam_bi_100_0.3 dev acc 0.786

2018-08-03 17:15:05 rnn_siam_attend train
2018-08-03 17:31:54 rnn_siam_attend train
rnn_siam_attend_100_0.5 train f1  0.989
rnn_siam_attend_100_0.5 train acc 0.996

rnn_siam_attend_100_0.3 dev f1  0.526
rnn_siam_attend_100_0.3 dev acc 0.799

2018-08-03 17:32:09 rnn_siam_bi_attend train
2018-08-03 18:06:05 rnn_siam_bi_attend train
rnn_siam_bi_attend_100_0.2 train f1  0.998
rnn_siam_bi_attend_100_0.2 train acc 0.999

rnn_siam_bi_attend_100_0.3 dev f1  0.546
rnn_siam_bi_attend_100_0.3 dev acc 0.808

